beex,beey,index
581.0480194091797,203.68400192260742,1
575.2183074951172,198.89902114868164,2
568.5781707763672,195.31299209594727,3
561.4439239501953,192.84549713134766,4
554.0268707275391,191.4346580505371,5
546.4863586425781,191.04742431640625,6
538.9617309570312,191.67188262939453,7
531.5901794433594,193.30502319335938,8
524.5138397216797,195.93716430664062,9
518.8310241699219,193.72159957885742,10
515.8986358642578,188.19385147094727,11
518.4772644042969,181.09862899780273,12
520.0075225830078,173.70544815063477,13
520.5094604492188,166.1716766357422,14
520.0161285400391,158.63695526123047,15
518.5559997558594,151.22855377197266,16
516.1402893066406,144.07489776611328,17
512.7567291259766,137.32611083984375,18
508.37062072753906,131.18403244018555,19
502.95001220703125,125.93704223632812,20
496.55853271484375,121.93687438964844,21
489.40281677246094,119.57270812988281,22
481.8823547363281,119.09693145751953,23
474.4722595214844,120.48229598999023,24
467.5426330566406,123.46163940429688,25
461.3614044189453,127.76953887939453,26
458.97723388671875,134.70835494995117,27
462.54417419433594,141.11862564086914,28
469.69947814941406,142.7433319091797,29
476.2888488769531,139.1724090576172,30
483.43975830078125,136.97808456420898,31
490.5495147705078,139.15309143066406,32
495.9119415283203,144.4227409362793,33
499.5564270019531,151.02059173583984,34
501.69134521484375,158.2559814453125,35
502.41827392578125,165.76612091064453,36
501.7163391113281,173.2775421142578,37
499.4921569824219,180.48321151733398,38
493.57688903808594,182.39525604248047,39
486.0280456542969,182.25457382202148,40
478.5147705078125,183.02442932128906,41
471.1049499511719,184.4935531616211,42
463.8210144042969,186.49870681762695,43
456.6575622558594,188.9008903503418,44
449.57215881347656,191.52609634399414,45
442.5140838623047,194.22384643554688,46
435.51039123535156,197.0596580505371,47
428.56602478027344,200.0376968383789,48
421.3005828857422,198.93440628051758,49
413.93370056152344,197.25467681884766,50
406.52626037597656,195.76387786865234,51
399.0798645019531,194.48239135742188,52
391.5967330932617,193.43697357177734,53
384.0810546875,192.66062927246094,54
376.5397415161133,192.19617080688477,55
368.9850845336914,192.10030364990234,56
361.4377975463867,192.43968963623047,57
353.9323272705078,193.29753875732422,58
346.52525329589844,194.7778778076172,59
339.3084945678711,197.00354766845703,60
332.42466735839844,200.1050682067871,61
326.0777053833008,204.19027709960938,62
320.51551055908203,209.28987884521484,63
315.9668960571289,215.3101806640625,64
312.5879135131836,222.05741119384766,65
310.40101623535156,229.28165435791016,66
309.30359649658203,236.7518310546875,67
309.13539123535156,244.30218505859375,68
309.76930236816406,251.82784271240234,69
311.3534164428711,259.20948791503906,70
314.08292388916016,266.2450408935547,71
318.0886535644531,272.63658905029297,72
323.34407806396484,278.0453186035156,73
328.3803939819336,282.59107208251953,74
324.91114044189453,289.3028259277344,75
321.86126708984375,296.2145538330078,76
319.2408905029297,303.30062103271484,77
317.0494155883789,310.5308609008789,78
315.2986297607422,317.88018798828125,79
313.9973907470703,325.32230377197266,80
313.1497268676758,332.8295593261719,81
312.75694274902344,340.3744430541992,82
312.8175735473633,347.92921447753906,83
313.3298110961914,355.4668426513672,84
314.2934265136719,362.9601821899414,85
