x,y
581.0480194091797,203.68400192260742
575.2183074951172,198.89902114868164
568.5781707763672,195.31299209594727
561.4439239501953,192.84549713134766
554.0268707275391,191.4346580505371
546.4863586425781,191.04742431640625
538.9617309570312,191.67188262939453
531.5901794433594,193.30502319335938
524.5138397216797,195.93716430664062
518.8310241699219,193.72159957885742
515.8986358642578,188.19385147094727
518.4772644042969,181.09862899780273
520.0075225830078,173.70544815063477
520.5094604492188,166.1716766357422
520.0161285400391,158.63695526123047
518.5559997558594,151.22855377197266
516.1402893066406,144.07489776611328
512.7567291259766,137.32611083984375
508.37062072753906,131.18403244018555
502.95001220703125,125.93704223632812
496.55853271484375,121.93687438964844
489.40281677246094,119.57270812988281
481.8823547363281,119.09693145751953
474.4722595214844,120.48229598999023
467.5426330566406,123.46163940429688
461.3614044189453,127.76953887939453
458.97723388671875,134.70835494995117
462.54417419433594,141.11862564086914
469.69947814941406,142.7433319091797
476.2888488769531,139.1724090576172
483.43975830078125,136.97808456420898
490.5495147705078,139.15309143066406
495.9119415283203,144.4227409362793
499.5564270019531,151.02059173583984
501.69134521484375,158.2559814453125
502.41827392578125,165.76612091064453
501.7163391113281,173.2775421142578
499.4921569824219,180.48321151733398
493.57688903808594,182.39525604248047
486.0280456542969,182.25457382202148
478.5147705078125,183.02442932128906
471.1049499511719,184.4935531616211
463.8210144042969,186.49870681762695
456.6575622558594,188.9008903503418
449.57215881347656,191.52609634399414
442.5140838623047,194.22384643554688
435.51039123535156,197.0596580505371
428.56602478027344,200.0376968383789
421.3005828857422,198.93440628051758
413.93370056152344,197.25467681884766
406.52626037597656,195.76387786865234
399.0798645019531,194.48239135742188
391.5967330932617,193.43697357177734
384.0810546875,192.66062927246094
376.5397415161133,192.19617080688477
368.9850845336914,192.10030364990234
361.4377975463867,192.43968963623047
353.9323272705078,193.29753875732422
346.52525329589844,194.7778778076172
339.3084945678711,197.00354766845703
332.42466735839844,200.1050682067871
326.0777053833008,204.19027709960938
320.51551055908203,209.28987884521484
315.9668960571289,215.3101806640625
312.5879135131836,222.05741119384766
310.40101623535156,229.28165435791016
309.30359649658203,236.7518310546875
309.13539123535156,244.30218505859375
309.76930236816406,251.82784271240234
311.3534164428711,259.20948791503906
314.08292388916016,266.2450408935547
318.0886535644531,272.63658905029297
323.34407806396484,278.0453186035156
328.3803939819336,282.59107208251953
324.91114044189453,289.3028259277344
321.86126708984375,296.2145538330078
319.2408905029297,303.30062103271484
317.0494155883789,310.5308609008789
315.2986297607422,317.88018798828125
313.9973907470703,325.32230377197266
313.1497268676758,332.8295593261719
312.75694274902344,340.3744430541992
312.8175735473633,347.92921447753906
313.3298110961914,355.4668426513672
314.2934265136719,362.9601821899414
315.71402740478516,370.3803024291992
317.6177520751953,377.69117736816406
320.12950134277344,384.81336212158203
325.55265045166016,389.30555725097656
332.7050247192383,391.7352981567383
340.0152130126953,393.64266204833984
347.4283752441406,395.10015869140625
354.91363525390625,396.1253433227539
362.44519805908203,396.72144317626953
369.99852752685547,396.8870391845703
377.5492477416992,396.6263198852539
385.0730743408203,395.9393768310547
392.5449676513672,394.8212661743164
399.93920135498047,393.27056884765625
407.2300262451172,391.2899627685547
414.3926086425781,388.88624572753906
421.4033966064453,386.07047271728516
428.2412872314453,382.8575210571289
432.7681121826172,386.8499526977539
437.6980438232422,392.55753326416016
443.7141571044922,397.1067886352539
450.5118103027344,400.3808059692383
457.77391052246094,402.44007873535156
465.2567901611328,403.45237731933594
472.8076934814453,403.6267395019531
480.3265075683594,402.93004608154297
487.6761779785156,401.2059020996094
494.65574645996094,398.33494567871094
501.0192565917969,394.2800979614258
506.5343933105469,389.13048553466797
511.05641174316406,383.0881652832031
514.5586242675781,376.4005813598633
517.1233825683594,369.29808044433594
518.885498046875,361.9534683227539
519.9793701171875,354.4790573120117
520.5192565917969,346.9435806274414
520.5970306396484,339.38878631591797
520.2862091064453,331.83980560302734
519.6437377929688,324.3114242553711
518.7147064208984,316.81307220458984
517.5340881347656,309.34999084472656
516.1304931640625,301.92554473876953
514.5263977050781,294.54195404052734
512.7398376464844,287.20020294189453
515.7581939697266,280.33301544189453
518.8049774169922,273.41844940185547
521.714111328125,266.44483184814453
524.4895782470703,259.4169692993164
527.0323181152344,252.3026351928711
529.10791015625,245.0387725830078
530.6085968017578,237.6355209350586
531.4065246582031,230.12496948242188
531.3506774902344,222.57386016845703
530.2830352783203,215.10018157958984
535.2282104492188,211.08163452148438
542.5618591308594,209.3142318725586
550.0999450683594,209.02445602416992
557.5342102050781,210.28929138183594
564.4367370605469,213.3041229248047
569.9077453613281,218.42972564697266
571.505615234375,225.64854431152344
568.7737731933594,232.63356018066406
565.4429473876953,239.30487060546875
567.6305541992188,246.30838012695312
574.3042907714844,249.3556671142578
581.0286102294922,246.42433166503906
585.2159118652344,240.14786529541016
